Jeux,Discipline,Épreuve,Phase,Genre,Début,Fin,Lieu,Session,latitude,longitude,ville,capacité,Enjeu,Catégorie_First,Catégorie_A,Catégorie_B,Catégorie_C,Catégorie_D,Catégorie_E+,Catégorie_E,Catégorie_First_PFR,Catégorie_A_PFR,Catégorie_B_PFR
Olympiques,Athlétisme,100 m,1er tour,Femmes,2024-08-02T10:00:00Z,2024-08-02T13:00:00Z,Stade de France,ATH02,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Décathlon  lancer de poids,,Hommes,2024-08-02T10:00:00Z,2024-08-02T13:00:00Z,Stade de France,ATH02,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Décathlon  saut en hauteur,,Hommes,2024-08-02T17:40:00Z,2024-08-02T22:00:00Z,Stade de France,ATH03,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,5 000 m,1er tour,Femmes,2024-08-02T17:40:00Z,2024-08-02T22:00:00Z,Stade de France,ATH03,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,Triple saut,qualifications,Femmes,2024-08-02T17:40:00Z,2024-08-02T22:00:00Z,Stade de France,ATH03,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,Lancer de disque,qualifications,Femmes,2024-08-02T17:40:00Z,2024-08-02T22:00:00Z,Stade de France,ATH03,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,Relais 4 x 400 m  mixte,1er tour,Mixte,2024-08-02T17:40:00Z,2024-08-02T22:00:00Z,Stade de France,ATH03,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,800 m,1er tour,Femmes,2024-08-02T17:40:00Z,2024-08-02T22:00:00Z,Stade de France,ATH03,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,Lancer de poids,qualifications,Hommes,2024-08-02T17:40:00Z,2024-08-02T22:00:00Z,Stade de France,ATH03,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,Décathlon  400 m,,Hommes,2024-08-02T17:40:00Z,2024-08-02T22:00:00Z,Stade de France,ATH03,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,10 000 m,finale,Hommes,2024-08-02T17:40:00Z,2024-08-02T22:00:00Z,Stade de France,ATH03,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,Décathlon  110 m haies,,Hommes,2024-08-03T10:00:00Z,2024-08-03T16:00:00Z,Stade de France,ATH04,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Saut à la perche,qualifications,Hommes,2024-08-03T10:00:00Z,2024-08-03T16:00:00Z,Stade de France,ATH04,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,100 m,tour préliminaire,Hommes,2024-08-03T10:00:00Z,2024-08-03T16:00:00Z,Stade de France,ATH04,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Décathlon  lancer de disque,,Hommes,2024-08-03T10:00:00Z,2024-08-03T16:00:00Z,Stade de France,ATH04,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,800 m,Repêchages,Femmes,2024-08-03T10:00:00Z,2024-08-03T16:00:00Z,Stade de France,ATH04,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,100 m,1er tour,Hommes,2024-08-03T10:00:00Z,2024-08-03T16:00:00Z,Stade de France,ATH04,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Décathlon  saut à la perche,,Hommes,2024-08-03T10:00:00Z,2024-08-03T16:00:00Z,Stade de France,ATH04,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,1 500 m,Repêchages,Hommes,2024-08-03T19:00:00Z,2024-08-03T22:00:00Z,Stade de France,ATH05,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Lancer de poids,finale,Hommes,2024-08-03T19:00:00Z,2024-08-03T22:00:00Z,Stade de France,ATH05,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,100 m,demi-finales,Femmes,2024-08-03T19:00:00Z,2024-08-03T22:00:00Z,Stade de France,ATH05,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Décathlon  lancer de javelot,,Hommes,2024-08-03T19:00:00Z,2024-08-03T22:00:00Z,Stade de France,ATH05,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Triple saut,finale,Femmes,2024-08-03T19:00:00Z,2024-08-03T22:00:00Z,Stade de France,ATH05,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Relais 4 x 400 m  mixte,finale,Mixte,2024-08-03T19:00:00Z,2024-08-03T22:00:00Z,Stade de France,ATH05,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,100 m,finale,Femmes,2024-08-03T19:00:00Z,2024-08-03T22:00:00Z,Stade de France,ATH05,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Décathlon  1 500 m,,Hommes,2024-08-03T19:00:00Z,2024-08-03T22:00:00Z,Stade de France,ATH05,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,3 000 m steeple,1er tour,Femmes,2024-08-04T10:00:00Z,2024-08-04T13:15:00Z,Stade de France,ATH06,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,Lancer de marteau,qualifications,Femmes,2024-08-04T10:00:00Z,2024-08-04T13:15:00Z,Stade de France,ATH06,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,200 m,1er tour,Femmes,2024-08-04T10:00:00Z,2024-08-04T13:15:00Z,Stade de France,ATH06,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,Saut en longueur,qualifications,Hommes,2024-08-04T10:00:00Z,2024-08-04T13:15:00Z,Stade de France,ATH06,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,110 m haies,1er tour,Hommes,2024-08-04T10:00:00Z,2024-08-04T13:15:00Z,Stade de France,ATH06,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,400 m haies,1er tour,Femmes,2024-08-04T10:00:00Z,2024-08-04T13:15:00Z,Stade de France,ATH06,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,400 m,1er tour,Hommes,2024-08-04T18:30:00Z,2024-08-04T22:00:00Z,Stade de France,ATH07,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Saut en hauteur,finale,Femmes,2024-08-04T18:30:00Z,2024-08-04T22:00:00Z,Stade de France,ATH07,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,100 m,demi-finales,Hommes,2024-08-04T18:30:00Z,2024-08-04T22:00:00Z,Stade de France,ATH07,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Lancer de marteau,finale,Hommes,2024-08-04T18:30:00Z,2024-08-04T22:00:00Z,Stade de France,ATH07,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,800 m,demi-finales,Femmes,2024-08-04T18:30:00Z,2024-08-04T22:00:00Z,Stade de France,ATH07,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,1 500 m,demi-finales,Hommes,2024-08-04T18:30:00Z,2024-08-04T22:00:00Z,Stade de France,ATH07,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,100 m,finale,Hommes,2024-08-04T18:30:00Z,2024-08-04T22:00:00Z,Stade de France,ATH07,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,400 m haies,1er tour,Hommes,2024-08-05T10:00:00Z,2024-08-05T13:15:00Z,Stade de France,ATH08,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Lancer de disque,qualifications,Hommes,2024-08-05T10:00:00Z,2024-08-05T13:15:00Z,Stade de France,ATH08,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Saut à la perche,qualifications,Femmes,2024-08-05T10:00:00Z,2024-08-05T13:15:00Z,Stade de France,ATH08,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,400 m haies,Repêchages,Femmes,2024-08-05T10:00:00Z,2024-08-05T13:15:00Z,Stade de France,ATH08,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,400 m,Repêchages,Hommes,2024-08-05T10:00:00Z,2024-08-05T13:15:00Z,Stade de France,ATH08,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,400 m,1er tour,Femmes,2024-08-05T10:00:00Z,2024-08-05T13:15:00Z,Stade de France,ATH08,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,200 m,Repechages,Femmes,2024-08-05T10:00:00Z,2024-08-05T13:15:00Z,Stade de France,ATH08,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Saut à la perche,finale,Hommes,2024-08-05T18:30:00Z,2024-08-05T22:00:00Z,Stade de France,ATH09,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,3 000 m steeple,1er tour,Hommes,2024-08-05T18:30:00Z,2024-08-05T22:00:00Z,Stade de France,ATH09,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,200 m,1er tour,Hommes,2024-08-05T18:30:00Z,2024-08-05T22:00:00Z,Stade de France,ATH09,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Lancer de disque,finale,Femmes,2024-08-05T18:30:00Z,2024-08-05T22:00:00Z,Stade de France,ATH09,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,200 m,demi-finales,Femmes,2024-08-05T18:30:00Z,2024-08-05T22:00:00Z,Stade de France,ATH09,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,5 000 m,finale,Femmes,2024-08-05T18:30:00Z,2024-08-05T22:00:00Z,Stade de France,ATH09,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,800 m,finale,Femmes,2024-08-05T18:30:00Z,2024-08-05T22:00:00Z,Stade de France,ATH09,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,1 500 m,1er tour,Femmes,2024-08-06T10:00:00Z,2024-08-06T13:00:00Z,Stade de France,ATH10,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Lancer de javelot,qualifications,Hommes,2024-08-06T10:00:00Z,2024-08-06T13:00:00Z,Stade de France,ATH10,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,110 m haies,Repêchages,Hommes,2024-08-06T10:00:00Z,2024-08-06T13:00:00Z,Stade de France,ATH10,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Saut en longueur,qualifications,Femmes,2024-08-06T10:00:00Z,2024-08-06T13:00:00Z,Stade de France,ATH10,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,400 m,Repêchages,Femmes,2024-08-06T10:00:00Z,2024-08-06T13:00:00Z,Stade de France,ATH10,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,400 m haies,Repêchages,Hommes,2024-08-06T10:00:00Z,2024-08-06T13:00:00Z,Stade de France,ATH10,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,200 m,Repêchages,Hommes,2024-08-06T10:00:00Z,2024-08-06T13:00:00Z,Stade de France,ATH10,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,400 m,demi-finales,Hommes,2024-08-06T19:00:00Z,2024-08-06T22:00:00Z,Stade de France,ATH11,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Lancer de marteau,finale,Femmes,2024-08-06T19:00:00Z,2024-08-06T22:00:00Z,Stade de France,ATH11,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,400 m haies,demi-finales,Femmes,2024-08-06T19:00:00Z,2024-08-06T22:00:00Z,Stade de France,ATH11,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Saut en longueur,finale,Hommes,2024-08-06T19:00:00Z,2024-08-06T22:00:00Z,Stade de France,ATH11,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,1 500 m,finale,Hommes,2024-08-06T19:00:00Z,2024-08-06T22:00:00Z,Stade de France,ATH11,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,3 000 m steeplechase,finale,Femmes,2024-08-06T19:00:00Z,2024-08-06T22:00:00Z,Stade de France,ATH11,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,200 m,finale,Femmes,2024-08-06T19:00:00Z,2024-08-06T22:00:00Z,Stade de France,ATH11,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Marche sur un marathon en relais mixte,,Mixte,2024-08-07T07:30:00Z,2024-08-07T10:50:00Z,Trocadéro,ATH12,48.856261999999994,2.2914,Paris (75),3349,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Saut en hauteur,qualifications,Hommes,2024-08-07T10:00:00Z,2024-08-07T13:05:00Z,Stade de France,ATH13,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,100 m haies,1er tour,Femmes,2024-08-07T10:00:00Z,2024-08-07T13:05:00Z,Stade de France,ATH13,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Lancer de javelot,qualifications,Femmes,2024-08-07T10:00:00Z,2024-08-07T13:05:00Z,Stade de France,ATH13,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,5 000 m,1er tour,Hommes,2024-08-07T10:00:00Z,2024-08-07T13:05:00Z,Stade de France,ATH13,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,800 m,1er tour,Hommes,2024-08-07T10:00:00Z,2024-08-07T13:05:00Z,Stade de France,ATH13,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,1 500 m,R,Femmes,2024-08-07T10:00:00Z,2024-08-07T13:05:00Z,Stade de France,ATH13,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Saut à la perche,finale,Femmes,2024-08-07T18:30:00Z,2024-08-07T22:00:00Z,Stade de France,ATH14,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,110 m haies,demi-finales,Hommes,2024-08-07T18:30:00Z,2024-08-07T22:00:00Z,Stade de France,ATH14,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,Triple saut,qualifications,Hommes,2024-08-07T18:30:00Z,2024-08-07T22:00:00Z,Stade de France,ATH14,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,400 m haies,demi-finales,Hommes,2024-08-07T18:30:00Z,2024-08-07T22:00:00Z,Stade de France,ATH14,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,200 m,demi-finales,Hommes,2024-08-07T18:30:00Z,2024-08-07T22:00:00Z,Stade de France,ATH14,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,Lancer de disque,finale,Hommes,2024-08-07T18:30:00Z,2024-08-07T22:00:00Z,Stade de France,ATH14,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,400 m,demi-finales,Femmes,2024-08-07T18:30:00Z,2024-08-07T22:00:00Z,Stade de France,ATH14,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,400 m,finale,Hommes,2024-08-07T18:30:00Z,2024-08-07T22:00:00Z,Stade de France,ATH14,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,3 000 m steeple,finale,Hommes,2024-08-07T18:30:00Z,2024-08-07T22:00:00Z,Stade de France,ATH14,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,Heptathlon  100 m haies,,Femmes,2024-08-08T10:00:00Z,2024-08-08T13:00:00Z,Stade de France,ATH15,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Lancer de poids,qualifications,Femmes,2024-08-08T10:00:00Z,2024-08-08T13:00:00Z,Stade de France,ATH15,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,100 m haies,Repêchages,Femmes,2024-08-08T10:00:00Z,2024-08-08T13:00:00Z,Stade de France,ATH15,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Heptathlon  saut en hauteur,,Femmes,2024-08-08T10:00:00Z,2024-08-08T13:00:00Z,Stade de France,ATH15,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Relais 4 x 100 m,1er tour,Femmes,2024-08-08T10:00:00Z,2024-08-08T13:00:00Z,Stade de France,ATH15,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Relais 4 x 100 m,1er tour,Hommes,2024-08-08T10:00:00Z,2024-08-08T13:00:00Z,Stade de France,ATH15,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,800 m,Repêchages,Hommes,2024-08-08T10:00:00Z,2024-08-08T13:00:00Z,Stade de France,ATH15,48.924388,2.3598709999999996,Saint-Denis (93),77083,Qualifications,,170,90,50,24,,,,,
Olympiques,Athlétisme,Heptathlon  lancer de poids,,Femmes,2024-08-08T19:00:00Z,2024-08-08T22:00:00Z,Stade de France,ATH16,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,1 500 m,demi-finales,Femmes,2024-08-08T19:00:00Z,2024-08-08T22:00:00Z,Stade de France,ATH16,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Saut en longueur,finale,Femmes,2024-08-08T19:00:00Z,2024-08-08T22:00:00Z,Stade de France,ATH16,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Lancer de javelot,finale,Hommes,2024-08-08T19:00:00Z,2024-08-08T22:00:00Z,Stade de France,ATH16,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,200 m,finale,Hommes,2024-08-08T19:00:00Z,2024-08-08T22:00:00Z,Stade de France,ATH16,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Heptathlon  200 m,,Femmes,2024-08-08T19:00:00Z,2024-08-08T22:00:00Z,Stade de France,ATH16,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,400 m haies,finale,Femmes,2024-08-08T19:00:00Z,2024-08-08T22:00:00Z,Stade de France,ATH16,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,110 m haies,finale,Hommes,2024-08-08T19:00:00Z,2024-08-08T22:00:00Z,Stade de France,ATH16,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Heptathlon  saut en longueur,,Femmes,2024-08-09T10:00:00Z,2024-08-09T13:15:00Z,Stade de France,ATH17,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,Relais 4 x 400 m,1er tour,Femmes,2024-08-09T10:00:00Z,2024-08-09T13:15:00Z,Stade de France,ATH17,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,Relais 4 x 400 m,1er tour,Hommes,2024-08-09T10:00:00Z,2024-08-09T13:15:00Z,Stade de France,ATH17,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,Heptathlon  lancer de javelot,,Femmes,2024-08-09T10:00:00Z,2024-08-09T13:15:00Z,Stade de France,ATH17,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,800 m,demi-finales,Hommes,2024-08-09T10:00:00Z,2024-08-09T13:15:00Z,Stade de France,ATH17,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,100 m haies,demi-finales,Femmes,2024-08-09T10:00:00Z,2024-08-09T13:15:00Z,Stade de France,ATH17,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,980,525,295,125,,,,,
Olympiques,Athlétisme,Relais 4 x 100 m,finale,Femmes,2024-08-09T19:00:00Z,2024-08-09T22:30:00Z,Stade de France,ATH18,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,,,,,,,,,
Olympiques,Athlétisme,Lancer de poids,finale,Femmes,2024-08-09T19:00:00Z,2024-08-09T22:30:00Z,Stade de France,ATH18,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,,,,,,,,,
